room_id,host_id,room_type,country,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,location
4519780,22931450,Shared room,,San Francisco,North Beach,130,4.5,4,1,,43,,37.798829,-122.404739,0101000020E61000009C1A683EE7995EC0560C570740E64240
8763366,23278,Shared room,,San Francisco,Mission,87,5,1,1,,49,,37.758301,-122.4128,0101000020E61000007CF2B0506B9A5EC016C3D50110E14240
12274606,3838854,Shared room,,San Francisco,Western Addition,xxx,0,1,1,,60,,37.776374,-122.432864,0101000020E610000068E7340BB49B5EC07BBB253960E34240
12253023,5164455,Shared room,,San Francisco,Pacific Heights,xxx,0,1,1,,60,,37.795361,-122.427044,0101000020E6100000FE7C5BB0549B5EC0C6C1A563CEE54240
14011529,61907533,Shared room,,San Francisco,Mission,1,0,2,1,,50,,37.760662,-122.420827,0101000020E610000086915ED4EE9A5EC0ADA7565F5DE14240
17846929,21697127,Shared room,,San Francisco,South of Market,1,0,4,1,,55,,37.772884,-122.392331,0101000020E61000003F8D7BF31B995EC003CDE7DCEDE24240
7746463,5697150,Shared room,,San Francisco,Mission,3,5,1,1,,49,,37.759037,-122.418827,0101000020E6100000A2EBC20FCE9A5EC01BBAD91F28E14240
10888070,28976328,Shared room,,San Francisco,Downtown/Civic Center,4,5,1,1,,60,,37.779587,-122.421343,0101000020E61000008159A148F79A5EC081B1BE81C9E34240
17371171,36997746,Shared room,,San Francisco,Outer Sunset,9,5,1,1,,52,,37.751359,-122.477392,0101000020E6100000CFD72C978D9E5EC013471E882CE04240
6822747,2711732,Shared room,,San Francisco,Castro/Upper Market,71,5,2,1,,55,,37.768191,-122.439228,0101000020E610000033DFC14F1C9C5EC0700A2B1554E24240
15204367,5215966,Shared room,,San Francisco,Outer Sunset,36,5,1,1,,47,,37.756345,-122.492647,0101000020E61000003E5E4887879F5EC01FBFB7E9CFE04240
10491563,48920457,Shared room,,San Francisco,Financial District,5,5,1,1,,42,,37.784274,-122.398482,0101000020E6100000DC82A5BA80995EC0338D261763E44240
259621,329072,Shared room,,San Francisco,Financial District,98,4.5,4,1,,45,,37.794697,-122.403737,0101000020E6100000DACBB6D3D6995EC05A9D9CA1B8E54240
18567322,128905277,Shared room,,San Francisco,South of Market,xxx,0,1,1,,50,,37.777029,-122.41555,0101000020E610000094F6065F989A5EC09485AFAF75E34240
18737881,130035283,Shared room,,San Francisco,Haight Ashbury,xxx,0,1,1,,45,,37.768954,-122.448838,0101000020E6100000EECC04C3B99C5EC06F10AD156DE24240
13342697,11078389,Shared room,,San Francisco,South of Market,xxx,0,1,1,,50,,37.780189,-122.405091,0101000020E6100000DA39CD02ED995EC077D9AF3BDDE34240
19644702,9231945,Shared room,,San Francisco,Downtown/Civic Center,xxx,0,2,1,,54,,37.788451,-122.412127,0101000020E61000001CB3EC49609A5EC0CFBF5DF6EBE44240
19034252,119355432,Shared room,,San Francisco,South of Market,xxx,0,1,1,,50,,37.779597,-122.397261,0101000020E61000007BBE66B96C995EC0A587A1D5C9E34240
19034998,43831356,Shared room,,San Francisco,Bayview,3,5,1,1,,45,,37.725597,-122.394861,0101000020E6100000D15D126745995EC0B189CC5CE0DC4240
10070760,51673718,Shared room,,San Francisco,Visitacion Valley,33,4.5,1,1,,45,,37.713184,-122.412082,0101000020E61000004C512E8D5F9A5EC0E603029D49DB4240
17478285,40297300,Shared room,,San Francisco,Bayview,31,5,2,1,,59,,37.727202,-122.3717,0101000020E610000016FBCBEEC9975EC0FBCA83F414DD4240
15422181,21430100,Shared room,,San Francisco,Inner Sunset,67,4.5,1,1,,50,,37.763636,-122.458262,0101000020E6100000F9BF232A549D5EC02D060FD3BEE14240
70753,329072,Shared room,,San Francisco,Financial District,226,4.5,4,1,,45,,37.79447,-122.404505,0101000020E61000006284F068E3995EC099D36531B1E54240
19548605,120736581,Shared room,,San Francisco,Lakeshore,1,0,1,1,,50,,37.719112,-122.480214,0101000020E6100000354580D3BB9E5EC0A114ADDC0BDC4240
17543814,36997746,Shared room,,San Francisco,Outer Sunset,21,4.5,1,1,,42,,37.749887,-122.477679,0101000020E61000001ABFF04A929E5EC00859164CFCDF4240
4902444,22931450,Shared room,,San Francisco,North Beach,94,4.5,4,1,,43,,37.798451,-122.404453,0101000020E610000039F1D58EE2995EC0B03A72A433E64240
15828423,5215966,Shared room,,San Francisco,Outer Sunset,29,5,1,1,,47,,37.755573,-122.494409,0101000020E61000004776A565A49F5EC0CC5EB69DB6E04240
8763407,23278,Shared room,,San Francisco,Mission,96,5,1,1,,49,,37.758097,-122.413884,0101000020E61000009C1551137D9A5EC00D198F5209E14240
19511968,71911209,Shared room,,San Francisco,Western Addition,2,0,1,1,,53,,37.78223,-122.432635,0101000020E6100000B806B64AB09B5EC09CF9D51C20E44240
1408281,1753794,Shared room,,San Francisco,Castro/Upper Market,257,5,1,1,,51,,37.764332,-122.436643,0101000020E6100000C0417BF5F19B5EC0A5A487A1D5E14240
435390,576273,Shared room,,San Francisco,Chinatown,6,5,1,1,,29,,37.794553,-122.406003,0101000020E6100000FCC401F4FB995EC027F8A6E9B3E54240
435391,576273,Shared room,,San Francisco,Chinatown,5,5,1,1,,29,,37.794782,-122.405917,0101000020E6100000FDF84B8BFA995EC088B9A46ABBE54240
15253799,33663709,Shared room,,San Francisco,Financial District,xxx,0,1,1,,34,,37.792248,-122.393271,0101000020E6100000C6DD205A2B995EC02429E96168E54240
14756524,26647424,Shared room,,San Francisco,Mission,xxx,0,1,1,,34,,37.769089,-122.423983,0101000020E6100000D7C39789229B5EC04F5B238271E24240
435389,576273,Shared room,,San Francisco,Chinatown,5,5,1,1,,29,,37.794184,-122.405819,0101000020E61000001B4641F0F8995EC0D48041D2A7E54240
19057720,8121021,Shared room,,San Francisco,Downtown/Civic Center,1,0,1,1,,28,,37.780501,-122.415032,0101000020E6100000C8B260E28F9A5EC066BFEE74E7E34240
18020492,123914250,Shared room,,San Francisco,Chinatown,xxx,0,1,1,,25,,37.796007,-122.405566,0101000020E6100000A69718CBF4995EC08C31B08EE3E54240
12525238,66654641,Shared room,,San Francisco,Ocean View,15,5,1,1,,40,,37.713954,-122.467717,0101000020E610000020B24813EF9D5EC0986C3CD862DB4240
18327502,125928830,Shared room,,San Francisco,South of Market,xxx,0,1,1,,21,,37.776995,-122.416877,0101000020E6100000185DDE1CAE9A5EC0E813799274E34240
7856089,7405062,Shared room,,San Francisco,South of Market,xxx,0,1,1,,38,,37.774591,-122.394297,0101000020E61000004CFA7B293C995EC0526342CC25E34240
16182225,85575849,Shared room,,San Francisco,Inner Richmond,2,0,2,1,,38,,37.776407,-122.461415,0101000020E610000091B8C7D2879D5EC057B1F84D61E34240
11037074,16256090,Shared room,,San Francisco,Western Addition,xxx,0,1,1,,25,,37.786261,-122.425218,0101000020E6100000EAEA8EC5369B5EC0658F5033A4E44240
13636310,33663709,Shared room,,San Francisco,Financial District,xxx,0,1,1,,10,,37.792967,-122.395515,0101000020E6100000F584251E50995EC053E751F17FE54240
16125990,81226014,Shared room,,San Francisco,Outer Sunset,xxx,0,1,1,,35,,37.758811,-122.489634,0101000020E61000009E40D829569F5EC02B6C06B820E14240
18428776,633828,Shared room,,San Francisco,Crocker Amazon,xxx,0,1,1,,28,,37.70903,-122.441385,0101000020E61000007AFCDEA63F9C5EC002F1BA7EC1DA4240
19781990,22600491,Shared room,,San Francisco,South of Market,xxx,0,1,1,,40,,37.784952,-122.389382,0101000020E6100000ABE97AA2EB985EC00377A04E79E44240
16207317,17216757,Shared room,,San Francisco,Potrero Hill,1,0,2,1,,40,,37.763454,-122.396656,0101000020E6100000C7F0D8CF62995EC00D0055DCB8E14240
15758145,99127447,Shared room,,San Francisco,Lakeshore,2,0,1,1,,26,,37.720367,-122.477935,0101000020E610000048A7AE7C969E5EC00F0F61FC34DC4240
16288478,3485414,Shared room,,San Francisco,South of Market,12,4.5,1,1,,40,,37.780238,-122.396383,0101000020E61000002F6CCD565E995EC0588CBAD6DEE34240
15633281,38163072,Shared room,,San Francisco,Ocean View,23,5,2,1,,34,,37.708556,-122.46123,0101000020E6100000C87BD5CA849D5EC03AB187F6B1DA4240
10852302,56210205,Entire home/apt,,San Francisco,Mission,xxx,0,6,3,,1666,,37.758381,-122.418145,0101000020E610000019FF3EE3C29A5EC03274ECA012E14240
10547198,54392336,Entire home/apt,,San Francisco,Excelsior,xxx,0,8,3,,2000,,37.728833,-122.405387,0101000020E61000004FCE50DCF1995EC06F9F55664ADD4240
10929043,56657066,Entire home/apt,,San Francisco,South of Market,xxx,0,4,2,,2500,,37.787081,-122.392868,0101000020E610000047E9D2BF24995EC0C826F911BFE44240
